# Time-averaged data for fix at2
# TimeStep f_mysf1[1] f_mysf2[1]
1000 0.00923169 -0.0314825
2000 -0.034737 0.0561647
3000 0.00624332 -0.0545592
4000 -0.0657768 0.0292298
5000 0.0724207 -0.0137931
6000 0.030015 0.00683504
7000 -0.0342105 0.0207419
8000 -0.00327556 -0.0156667
9000 0.0336472 0.00746749
10000 -0.014729 0.000809972
11000 -0.0671886 -0.0156793
12000 0.11172 -0.0447985
13000 0.020641 0.00927908
14000 -0.0581066 0.0397552
15000 0.0311545 0.0180936
16000 -0.0203956 -0.108645
17000 -0.00958308 0.100899
18000 -0.0571874 0.0323202
19000 0.0669037 -0.0636331
20000 -0.0229131 0.0692
21000 0.044491 -0.102108
22000 -0.0516135 0.0328791
23000 -0.0535812 -0.0048942
24000 0.0357954 0.0611859
25000 0.0102068 -0.0168903
26000 0.0259625 -0.0615629
27000 -0.00854657 0.0526434
28000 0.0234 -0.0154717
29000 -0.00182709 0.0179253
30000 -0.0391669 0.00430651
31000 0.0114894 0.003286
32000 -0.0256246 0.0384049
33000 0.0114566 -0.0684873
34000 0.0548156 -0.0428508
35000 -0.0219909 0.0150303
36000 -0.0295962 -0.00378661
37000 0.0290923 0.0699639
38000 -0.0135526 -0.00119592
39000 0.00491307 -0.0101501
40000 -0.0145524 -0.0463455
41000 0.0226787 0.00316129
42000 -0.0410308 0.0189818
43000 0.0589136 0.0738701
44000 -0.0676883 -0.0353467
45000 0.102725 -0.0536978
46000 -0.0709796 0.0442337
47000 0.0121369 0.00388768
48000 -0.0275277 0.0378194
49000 0.0520113 -0.111491
50000 -0.0518021 0.0823057
51000 0.0408079 -0.0669016
52000 0.0239763 0.0811588
53000 -0.0626226 -0.0469271
54000 0.0436815 -0.0163593
55000 -0.0326754 0.00337215
56000 -0.0112713 0.00828193
57000 0.0273097 0.0430824
58000 -0.0336227 -0.0669783
59000 -6.64628e-05 0.0398254
60000 -0.0293168 -0.0300236
61000 0.0582807 -0.00245736
62000 0.0172124 -0.0162709
63000 -0.0190333 0.0868515
64000 0.0486323 -0.0471567
65000 -0.0149288 0.0313521
66000 -0.0371982 0.00796119
67000 0.0375185 -0.0133122
68000 -0.014659 0.00580321
69000 -0.0416882 -0.00740888
70000 -0.00787525 -0.0132914
71000 -0.0201938 -0.00565504
72000 0.0401825 -0.0437791
73000 -0.0203532 -0.0115799
74000 -0.029008 0.062359
75000 0.0480595 -0.0380628
76000 -0.0527799 -0.0274681
77000 0.0165218 0.0827044
78000 -0.0032317 -0.0330664
79000 0.00584643 0.042317
80000 -0.0110927 0.00970085
81000 0.00317805 -0.0565956
82000 -0.00556816 0.00193162
83000 -0.000291332 0.0721801
84000 -0.0498203 -0.00784399
85000 -0.00910568 -0.0304764
86000 0.100075 -0.0380354
87000 -0.0683272 -0.0109325
88000 -0.0258991 -0.0249632
89000 -0.111036 0.0365069
90000 0.102152 0.0223566
91000 0.000977635 -0.0529727
92000 0.0221181 0.053583
93000 0.0345202 -0.0273116
94000 0.0351304 0.0117148
95000 -0.0356388 0.0509179
96000 0.0441587 -0.0343389
97000 -0.0694445 -0.0175566
98000 0.0215383 -0.00633904
99000 -0.0587325 0.0246969
100000 0.0128681 0.0106114
101000 0.0484681 0.0663013
102000 -0.0604073 -0.0734829
103000 0.0295046 -0.0246922
104000 0.00522952 0.0117511
105000 -0.0568968 0.0377119
106000 0.0837369 -0.0590676
107000 -0.0133791 0.0468134
108000 -0.036255 0.0614699
109000 -0.0325799 -0.0472051
110000 0.0105253 0.0121729
111000 0.0769066 0.0114505
112000 -0.0715349 0.0370051
113000 0.0755649 -0.028272
114000 -0.0383402 -0.0488867
115000 0.00614551 0.00838166
116000 0.0315567 0.00467837
117000 0.0446293 0.0251689
118000 -0.0565236 -0.004622
119000 0.0368586 -0.0503677
120000 0.0538458 0.0561793
121000 -0.0448678 -0.0572168
122000 -0.0394925 0.0347089
123000 0.0588957 -0.00903029
124000 -0.00915075 -0.0265327
125000 0.00386102 0.0164417
126000 -0.0554923 -0.00321101
127000 0.035262 -0.0208031
128000 0.0246541 0.0690687
129000 -0.00782479 -0.0731589
130000 0.0119212 -0.046871
131000 -0.0129254 -0.00118255
132000 -0.0159219 0.0975921
133000 0.0209907 -0.014274
134000 -0.00674176 -0.077625
135000 -0.0131621 0.1242
136000 0.105844 -0.0779827
137000 -0.104382 0.0636609
138000 -0.0147187 -0.0747226
139000 0.079979 0.0255152
140000 -0.00289862 -0.00659305
141000 0.0589586 -0.00544782
142000 -0.0732455 0.0351015
143000 -0.0016166 -0.0302942
144000 0.00991109 0.00286003
145000 0.006172 0.0417627
146000 -0.0104657 -0.0565112
147000 -0.00484326 0.00641308
148000 -0.012512 -0.0534521
149000 -0.00784731 0.0495406
150000 0.02499 0.0117942
151000 -0.0370177 -0.0180294
152000 -0.00398246 -0.0196838
153000 0.100841 0.0454138
154000 -0.062317 -0.0808061
155000 0.0192039 0.054861
156000 -0.0672354 -0.015804
157000 0.0056138 -0.0309358
158000 -0.0232423 -0.0168189
159000 0.0166275 -0.00663954
160000 0.0471564 0.0480931
161000 0.00903627 0.0114804
162000 -0.0440093 0.0310251
163000 0.0183061 0.00220222
164000 -0.0922539 -0.00817503
165000 0.139869 0.0203582
166000 -0.0498138 -0.0443613
167000 -0.0256189 0.062887
168000 -0.0384139 -0.104162
169000 0.0236569 0.0989546
170000 -0.00203885 -0.019201
